project_id,project_name,repo_url,resolved_commit,commit_source,effort_since,effort_until,actual_duration_months,duration_plausible,ksloc_code,ksloc_code_raw,generated_loc_excluded,generated_files_n,ksloc_all,pm_mid,pm_low,pm_high,active_dev_days,total_commits,distinct_authors,effort_reliable,top_langs,planned_fte,planned_duration_months,planned_pm,cost_usd,status,error_msg,new_sloc,adapted_sloc,adapted_fraction,cm_observed,aam,equivalent_sloc
admeta,admeta,https://github.com/AdMetaNetwork/admeta,d133bce5adaa41dc2acffa8f10b63928d22751b4,commit,2021-11-12,2022-12-13,13.01,1,2.6110,2.6110,0,0,3.3340,0.3684,0.1404,3.0,7,12,1,0,"{""Rust"": 2567, ""TOML"": 305, ""Markdown"": 266, ""YAML"": 129, ""Nix"": 30}",2,1,2.00,12000,OK,,1.2846,1.3264,0.508,1.0,0.84,2.3988
Afloat,Afloat,https://github.com/hashed-io/afloat-client-api,f71cb3c13690151632a0344f1421cae866c0dcfc,cutoff,2022-08-30,2023-02-09,5.35,1,1.5780,1.5780,0,0,27.1270,1.0,0.3927,9.0,19,43,4,1,"{""JSON"": 25137, ""JavaScript"": 1578, ""CSS"": 204, ""Markdown"": 114, ""HTML"": 88}",2,,,46200,OK,,1.1719,0.4061,0.2573,0.9615,0.813,1.5021
agridot,agridot,https://github.com/kacena123/AgriDot,c54553b96181ed2a46c53c8c3073c5fe1c4c257a,commit,2024-12-06,2024-12-08,0.07,1,5.6840,5.7190,35,2,36.8300,0.0,0.0,0.0,0,0,0,0,"{""JSON"": 30310, ""TypeScript"": 5427, ""XML"": 325, ""SVG"": 176, ""Gradle"": 153}",1,4,4.00,10000,OK,,0.0973,5.5867,0.9829,0.2913,0.296,1.7509
Aisland-DocSig,Aisland-DocSig,https://github.com/aisland-dao/docsig,b23cc85356d16baa35b06734492b261a45d15880,cutoff,2023-07-02,2023-10-14,3.42,1,2.5960,8.4080,5812,1,25.7010,1.7368,0.7866,7.0,33,91,4,1,"{""JSON"": 18398, ""Text"": 3691, ""JavaScript"": 2573, ""SQL"": 407, ""HTML"": 252}",1.5,2,3.00,9000,OK,,0.5016,2.0944,0.8068,0.9992,0.8394,2.2597
ajuna,ajuna,https://github.com/ajuna-network/Ajuna.SDK,d7a3403beeb617e785942021b31d7eb7581876bd,cutoff,2022-04-02,2023-02-28,10.91,1,6.0980,6.0980,0,0,7.1870,1.0526,0.3712,9.0,20,50,3,1,"{""C#"": 6098, ""Markdown"": 305, ""MSBuild script"": 211, ""INI"": 203, ""JSON"": 182}",1,4,4.00,25,OK,,6.098,0.0,0.0,0.0,0.0554,6.098
AlgoCash,AlgoCash,https://github.com/ReserveLabs/AlgoCash,64097eedd3677ce595e0538c6df0149f21a0f816,cutoff,2021-01-22,2021-06-30,5.22,1,0.7690,0.7690,0,0,0.9730,0.2632,0.0839,2.0,5,9,2,0,"{""Rust"": 732, ""TOML"": 141, ""JSON"": 38, ""TypeScript"": 31, ""Markdown"": 25}",1.5,,,5000,OK,,0.769,0.0,0.0,0.0,0.0554,0.769
anagolay-project-idiyanale-multi-token-community-contributions-for-verified-creators,anagolay-project-idiyanale-multi-token-community-contributions-for-verified-creators,https://github.com/anagolay/anagolay-chain,,,,,,,,,,,,,,,,,,,,2,,,27500,ERROR,"git clone failed: fatal: could not read Username for 'https://github.com': No such device or address
",,,,,,
anagolay-project-idiyanale-phase,anagolay-project-idiyanale-phase,https://github.com/anagolay/w3f-grant-support-repo,d3c2cc09a8f9aa56c079814ed1b201a3abd8eab5,cutoff,2022-02-11,2022-05-30,3.55,1,0.0000,0.0000,0,0,0.0110,0.0526,0.0132,1.0,1,1,1,0,"{""YAML"": 6, ""Markdown"": 5}",2,,,27500,OK,,,,,,,
anchor,anchor,https://github.com/ff13dfly/Anchor,4ff4976a5f767c82844417f03ff376e677a8164c,cutoff,2021-10-08,2023-03-13,17.12,1,5.2490,5.2490,0,0,6.6860,2.6842,1.2171,12.0,51,128,1,0,"{""Rust"": 3051, ""JavaScript"": 2185, ""TOML"": 656, ""Markdown"": 617, ""JSON"": 66}",1,1,1.00,6000,OK,,4.6929,0.5561,0.1059,1.0,0.84,5.16
apron-network,apron-network,https://github.com/Apron-Network/apron-node,3c1a9efced6093e5788e4f3da87ec5fe981f356f,cutoff,2021-01-23,2021-03-09,1.48,1,1.5390,1.5390,0,0,1.8540,0.1579,0.0395,2.0,3,4,2,0,"{""Rust"": 1484, ""TOML"": 179, ""Bourne Shell"": 55, ""Markdown"": 53, ""YAML"": 42}",4,3,12.00,0,OK,,0.0,1.539,1.0,0.0,0.0554,0.0853
ares_protocol,ares_protocol,https://github.com/aresprotocols/ares-module,b4a9e0a0c8b7c5c1ba0919769ba372d62b848e3d,cutoff,2020-11-23,2021-03-02,3.25,1,28.5330,28.9300,397,2,30.2410,1.6316,0.4481,14.0,31,46,6,1,"{""Java"": 24642, ""Rust"": 1852, ""JavaScript"": 1793, ""Maven"": 408, ""Markdown"": 365}",1.5,,,0,OK,,27.468,1.065,0.0373,1.0,0.84,28.3626
